#Title: A Near-Infrared Spectral Template for Quasars 
#Authors: Glikman E., Helfand D.J., White R.L. 
#Table: Optical-to-infrared Composite Quasar Spectrum, Arithmetic and 
#       Geometric Means 
#================================================================================
#Byte-by-byte Description of file: datafile7.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.1   0.1nm   Wave   Wavelength in Angstroms
#   9- 15 F7.4   ---     Flux   Arithmetic mean flux in arbitrary units 
#  17- 23 F7.4   ---   e_Flux   Error in Flux 
#  25- 31 F7.4   ---     GFlux  Geometric mean flux in arbitrary units
#--------------------------------------------------------------------------------
 7226.9  1.7301  0.0138  1.5460
 7228.6  1.8940  0.0154  1.7112
 7230.3  1.8920  0.0165  1.4799
 7232.0  1.8796  0.0163  1.5660
 7233.7  1.9085  0.0162  1.7168
 7235.4  1.8979  0.0157  1.8206
 7237.0  1.9089  0.0160  1.6150
 7238.7  1.9006  0.0164  1.5316
 7240.4  1.8116  0.0157  1.4995
 7242.1  1.9060  0.0166  1.5680
 7243.8  1.9232  0.0162  1.5513
 7245.5  1.9053  0.0162  1.5897
 7247.1  1.8717  0.0144  1.8988
 7248.8  1.7931  0.0135  1.3751
 7250.5  1.8571  0.0158  1.5540
 7252.2  1.8478  0.0175  1.4397
 7253.9  1.7889  0.0157  1.7101
 7255.6  1.9016  0.0155  1.6975
 7257.3  1.7920  0.0140  1.6839
 7259.0  1.6948  0.0141  1.7725
 7260.6  1.7417  0.0136  1.8388
 7262.3  1.8815  0.0160  1.7099
 7264.0  1.8766  0.0156  1.4175
 7265.7  1.9021  0.0159  1.5338
 7267.4  1.8654  0.0154  1.6583
 7269.1  1.9224  0.0167  1.5851
 7270.8  1.8220  0.0158  1.8019
 7272.5  1.6727  0.0149  1.7409
 7274.2  1.7313  0.0149  1.6549
 7275.9  1.8753  0.0157  1.5082
 7277.5  1.8227  0.0148  1.7511
 7279.2  1.7596  0.0144  1.6778
 7280.9  1.7468  0.0148  1.8207
 7282.6  1.8481  0.0148  1.8426
 7284.3  1.8351  0.0156  1.7050
 7286.0  1.8210  0.0159  1.7149
 7287.7  1.7487  0.0137  1.8368
 7289.4  1.6434  0.0137  1.6702
 7291.1  1.7063  0.0137  1.4871
 7292.8  1.7729  0.0156  1.5555
 7294.5  1.8666  0.0167  1.6515
 7296.2  1.8286  0.0163  1.7872
 7297.9  1.7366  0.0141  1.7744
 7299.6  1.8769  0.0166  1.5093
 7301.3  1.8632  0.0168  1.5778
 7303.0  1.7012  0.0142  1.8017
 7304.7  1.8379  0.0154  1.8685
 7306.4  1.8685  0.0170  1.7984
 7308.1  1.8817  0.0173  1.6617
 7309.8  1.9061  0.0170  1.6343
 7311.5  1.8592  0.0171  1.6030
 7313.2  1.8274  0.0178  1.5336
 7314.9  1.8587  0.0179  1.7065
 7316.6  1.8974  0.0152  1.8319
 7318.3  1.7425  0.0146  1.7529
 7320.0  1.9076  0.0158  1.6926
 7321.7  1.7512  0.0142  1.5993
 7323.4  1.8938  0.0167  1.6904
 7325.1  1.9237  0.0172  1.7956
 7326.8  1.8425  0.0156  1.6161
 7328.5  1.7532  0.0140  1.6342
 7330.2  1.8409  0.0152  1.5603
 7331.9  1.8881  0.0166  1.6986
 7333.6  1.8667  0.0163  1.7070
 7335.3  1.9378  0.0170  1.6865
 7337.0  1.7751  0.0151  1.7150
 7338.7  1.6380  0.0144  1.5550
 7340.5  1.6896  0.0151  1.6601
 7342.2  1.8182  0.0151  1.7941
 7343.9  1.7569  0.0152  1.6700
 7345.6  1.7254  0.0150  1.4500
 7347.3  1.8116  0.0164  1.6743
 7349.0  1.8382  0.0173  1.7399
 7350.7  1.6187  0.0145  1.6503
 7352.4  1.7138  0.0156  1.7056
 7354.1  1.6578  0.0150  1.6440
 7355.8  1.6298  0.0140  1.5448
 7357.5  1.8199  0.0169  1.6895
 7359.2  1.8487  0.0180  1.6574
 7361.0  1.8381  0.0183  1.7241
 7362.7  1.7511  0.0161  1.7629
 7364.4  1.6804  0.0152  1.6347
 7366.1  1.8135  0.0159  1.5226
 7367.8  1.3127  0.0153  1.6426
 7369.5  1.8073  0.0170  1.6149
 7371.2  1.8408  0.0172  1.5526
 7373.0  1.7839  0.0162  1.4627
 7374.7  1.7471  0.0149  1.5295
 7376.4  1.6127  0.0142  1.7566
 7378.1  1.8370  0.0173  1.6580
 7379.8  1.8421  0.0173  1.6754
 7381.5  1.8516  0.0169  1.6313
 7383.3  1.7609  0.0147  1.7144
 7385.0  1.7986  0.0165  1.3702
 7386.7  1.6222  0.0153  1.5538
 7388.4  1.7460  0.0168  1.5835
 7390.1  1.7372  0.0151  1.6009
 7391.9  1.8054  0.0163  1.6842
 7393.6  1.8172  0.0173  1.4409
 7395.3  1.5900  0.0150  1.7686
 7397.0  1.7054  0.0162  1.5898
 7398.7  1.7418  0.0177  1.4567
 7400.5  1.7378  0.0163  1.4353
 7402.2  1.7898  0.0177  1.4321
 7403.9  1.6482  0.0161  1.2446
 7405.6  1.7651  0.0168  1.4928
 7407.3  1.8086  0.0177  1.6062
 7409.1  1.7498  0.0158  1.6545
 7410.8  1.7394  0.0148  1.7211
 7412.5  1.8027  0.0160  1.4686
 7414.2  1.7220  0.0159  1.5639
 7416.0  1.7646  0.0160  1.2329
 7417.7  1.7368  0.0168  1.4945
 7419.4  1.7614  0.0168  1.4982
 7421.1  1.7325  0.0140  1.4674
 7422.9  1.7715  0.0142  1.6236
 7424.6  1.7988  0.0157  1.6911
 7426.3  1.5821  0.0142  1.5574
 7428.0  1.6588  0.0145  1.3956
 7429.8  1.7593  0.0171  1.6671
 7431.5  1.5505  0.0141  1.4204
 7433.2  1.7144  0.0161  1.4638
 7435.0  1.7516  0.0186  1.5084
 7436.7  1.7584  0.0173  1.5771
 7438.4  1.7610  0.0168  1.5835
 7440.1  1.7211  0.0162  1.4519
 7441.9  1.7358  0.0168  1.5802
 7443.6  1.6162  0.0140  1.5098
 7445.3  1.6717  0.0160  1.5006
